Area_code	Location	Overlay_complex	Timezone
934	New York	631/934	E
936	Texas	-	C
937	Ohio	937/326	E
938	Alabama	256/938	C
939	Puerto Rico	787/939	AST
940	Texas	-	C
941	Florida	-	E
943	Georgia	404/678/470/943 & 770/678/470/943	E
945	Texas	214/972/469/945	C
947	Michigan	248/947	E
948	Virginia	757/948	E
949	California	-	P
951	California	-	P
952	Minnesota	-	C
954	Florida	954/754	E
956	Texas	-	C
959	Connecticut	860/959	E
970	Colorado	-	M
971	Oregon	503/971	P
972	Texas	214/972/469/945	C
973	New Jersey	973/862	E
978	Massachusetts	978/351	E
979	Texas	-	C
980	North Carolina	704/980	E
984	North Carolina	919/984	E
985	Louisiana	-	C
986	Idaho	208/986	M/P
989	Michigan	-
